排序,股票代號,股票名稱,股票交易戶數,ETF代號,ETF名稱,ETF交易戶數
"1","2330","台積電","88970","00878","國泰永續高股息","300061"
"2","2886","兆豐金","32236","0056","元大高股息","269204"
"3","2884","玉山金","29925","0050","元大台灣50","265552"
"4","2892","第一金","16685","006208","富邦台50","231652"
"5","2317","鴻海","16565","00919","群益台灣精選高息","126440"
"6","5880","合庫金","16438","00713","元大台灣高息低波","103214"
"7","2891","中信金","15705","00929","復華台灣科技優息","78898"
"8","2412","中華電","14984","00692","富邦公司治理","36067"
"9","2881","富邦金","12625","00881","國泰台灣5G+","32463"
"10","2887","台新金","11873","00850","元大臺灣ESG永續","26808"
"11","2885","元大金","10696","00940","元大台灣價值高息","25306"
"12","2890","永豐金","8913","00923","群益台ESG低碳50","18521"
"13","2882","國泰金","8099","00915","凱基優選高股息30","17906"
"14","2454","聯發科","7991","00757","統一FANG+","15899"
"15","1101","台泥","7802","00646","元大S&P500","15739"
"16","2308","台達電","7615","00922","國泰台灣領袖50","13271"
"17","2002","中鋼","6465","00830","國泰費城半導體","12332"
"18","1216","統一","5097","00733","富邦臺灣中小","10762"
"19","2834","臺企銀","4576","00662","富邦NASDAQ","10100"
"20","2382","廣達","4486","00893","國泰智能電動車","8318"

有甚麼可以分析的